basis,De_total,De_casci_only,De_from_nevpt2  (cm^-1; E(8.0)-E(R) at the total-curve Re)
ccpvtz,996.6,-965.5,1962.2
ccpvqz,698.2,-703.0,1401.2
ccpv5z,1313.2,-537.6,1850.8
basis,R,active_orbital_energies_Ha,active_orbital_rms_radius_bohr
ccpvtz,2.5,-0.392 -0.245 +0.017 +0.021 +0.021 +0.089 +0.089 +0.150,3.1 4.4 5.2 4.7 4.7 5.7 5.7 7.1
ccpvtz,8.0,-0.309 -0.309 +0.046 +0.049 +0.049 +0.050 +0.050 +0.054,8.1 8.1 8.7 8.8 8.8 8.8 8.8 8.9
ccpvqz,2.5,-0.392 -0.245 +0.015 +0.018 +0.018 +0.082 +0.082 +0.109,3.1 4.4 5.5 5.0 5.0 6.2 6.2 8.3
ccpvqz,8.0,-0.309 -0.309 +0.039 +0.044 +0.044 +0.046 +0.046 +0.051,8.1 8.1 8.7 9.0 9.0 9.0 9.0 9.3
ccpv5z,2.5,-0.392 -0.245 +0.013 +0.015 +0.015 +0.072 +0.072 +0.074,3.1 4.4 5.8 5.5 5.5 7.2 7.2 9.4
ccpv5z,8.0,-0.309 -0.309 +0.032 +0.036 +0.036 +0.040 +0.040 +0.046,8.1 8.1 8.9 9.4 9.4 9.5 9.5 10.0
