R,basis,e_casci,e_corr,e_tot,wall_s
2.0,ccpvtz,-29.157917810834984,-0.06551438877817059,-29.223432199613153,1.5
2.1,ccpvtz,-29.16454456714029,-0.06449295248158972,-29.22903751962188,1.3
2.2,ccpvtz,-29.168812097694964,-0.06343173635463954,-29.232243834049605,1.3
2.3,ccpvtz,-29.171488048275002,-0.06229727042728873,-29.233785318702292,1.3
2.4,ccpvtz,-29.17313497582694,-0.06112335100846605,-29.234258326835405,1.3
2.5,ccpvtz,-29.17415390546248,-0.05997066898336076,-29.23412457444584,1.3
2.6,ccpvtz,-29.174816924486787,-0.05889159691297317,-29.23370852139976,1.4
2.7,ccpvtz,-29.175297444326702,-0.05791515772041369,-29.233212602047114,1.3
2.8,ccpvtz,-29.175697962003063,-0.05704884162948945,-29.23274680363255,1.3
3.0,ccpvtz,-29.176446524146424,-0.05561556548183165,-29.232062089628258,1.3
4.0,ccpvtz,-29.179391862048078,-0.0521139491480646,-29.231505811196143,1.3
6.0,ccpvtz,-29.178373078837843,-0.051871028124272765,-29.230244106962115,1.2
8.0,ccpvtz,-29.177776878283957,-0.05196564047458857,-29.229742518758545,1.3
2.0,ccpvqz,-29.151297642611926,-0.09591328802558036,-29.247210930637507,5.3
2.1,ccpvqz,-29.15783297285623,-0.09491421875326626,-29.252747191609497,5.0
2.2,ccpvqz,-29.162023850297036,-0.09404819123660468,-29.256072041533642,4.7
2.3,ccpvqz,-29.164619841653984,-0.0932696181984575,-29.257889459852443,4.8
2.4,ccpvqz,-29.166178453712025,-0.09253903817366618,-29.25871749188569,4.9
2.5,ccpvqz,-29.167103138109507,-0.09182934077818856,-29.258932478887697,4.8
2.6,ccpvqz,-29.167673972856516,-0.09112958545810958,-29.258803558314625,5.0
2.7,ccpvqz,-29.168071133382792,-0.09044944385562455,-29.258520577238418,4.7
2.8,ccpvqz,-29.16839479174927,-0.08981623224062411,-29.258211023989897,5.0
3.0,ccpvqz,-29.16898239641302,-0.08876522206221435,-29.257747618475236,4.5
4.0,ccpvqz,-29.17152004417,-0.08579598779670637,-29.257316031966706,5.0
6.0,ccpvqz,-29.171167707721743,-0.08517337066911349,-29.256341078390857,4.8
8.0,ccpvqz,-29.170285383694274,-0.0854680774664819,-29.255753461160758,4.3
2.0,ccpv5z,-29.14427782727119,-0.1128938393442853,-29.257171666615474,15.9
2.1,ccpv5z,-29.1505615906745,-0.11177902352950693,-29.262340614204007,14.7
2.2,ccpv5z,-29.15447721907114,-0.11083173217564661,-29.265308951246787,14.5
2.3,ccpv5z,-29.156806377427777,-0.10998730198515687,-29.266793679412935,14.4
2.4,ccpv5z,-29.158122844960328,-0.10920320786979004,-29.267326052830118,14.6
2.5,ccpv5z,-29.158831369336514,-0.10846057776776702,-29.267291947104283,14.0
2.6,ccpv5z,-29.159203666080032,-0.10774613851992565,-29.266949804599957,14.2
2.7,ccpv5z,-29.159410899413146,-0.10704842066308355,-29.26645932007623,14.3
2.8,ccpv5z,-29.159552134014586,-0.10636976119075742,-29.26592189520534,14.3
3.0,ccpv5z,-29.15981318962504,-0.10510927410291304,-29.264922463727952,14.4
4.0,ccpv5z,-29.16142111188434,-0.10154075327235804,-29.262961865156697,13.7
6.0,ccpv5z,-29.16179246200248,-0.1003635344314555,-29.262155996433936,12.8
8.0,ccpv5z,-29.16090366098804,-0.10049490643039376,-29.261398567418436,11.6
