route,U,L,bond_dims,e_per_D,dw_per_D,stage_dE,e_extrap,stderr,method,regime,threads,wall_s
open,4.0,20,200/400/800,-11.112184565547688/-11.112184565557019/-11.112184565557024,3.096e-13/5.296e-20/2.215e-20,3.652e-12/7.105e-15/1.776e-15,-11.112184565561687,3.049e-12,invD,converged,4,26
open,4.0,40,200/400/800,-22.583593887137862/-22.583593888134573/-22.583593888138907,1.149e-11/3.239e-14/1.528e-19,7.228e-11/4.263e-13/7.105e-15,-22.583593888637253,3.234e-10,invD,converged,4,302
open,4.0,60,200/400/800,-34.057058290301754/-34.05705829824289/-34.05705829829213,5.253e-11/2.854e-13/5.764e-19,1.406e-09/2.927e-12/4.263e-14,-34.05705830226268,2.567e-09,invD,converged,4,198
open,4.0,80,200/400/800,-45.53106933365911/-45.531069364313865/-45.5310693645358,1.280e-10/9.317e-13/5.028e-17,5.495e-09/1.096e-11/4.192e-13,-45.531069379863155,9.889e-09,invD,converged,4,331
open,4.0,100,200/400/800,-57.00530543430791/-57.00530550861414/-57.00530550928817,2.520e-10/2.457e-12/8.597e-15,1.990e-09/2.184e-11/2.771e-13,-57.00530554644128,2.388e-08,invD,converged,4,484
ring,4.0,16,400/800/1600,-9.225694075893387/-9.22569474944945/-9.22569475678161,3.568e-08/5.152e-10/3.605e-12,1.708e-10/8.644e-12/1.137e-13,-9.225694758066526,1.234e-09,dweight,truncation,4,138
ring,4.0,20,400/800/1600,-11.508711495783338/-11.508716828956558/-11.508716976452211,1.294e-07/3.917e-09/7.520e-11,6.369e-10/4.558e-10/2.915e-12,-11.508716987328873,7.928e-09,dweight,truncation,4,273
ring,4.0,24,400/800/1600,-13.796984594969434/-13.797002311958455/-13.797003003847744,2.857e-07/1.196e-08/3.422e-10,1.463e-09/2.386e-09/6.057e-11,-13.797003054679628,3.001e-08,dweight,truncation,4,459
ring,4.0,28,400/800/1600,-16.08761252983565/-16.087654309157376/-16.087656158360044,4.765e-07/2.417e-08/9.175e-10,5.941e-11/5.788e-09/3.229e-10,-16.087656384463386,1.494e-07,dweight,truncation,4,683
ring,4.0,32,400/800/1600,-18.379467375134457/-18.37954267585868/-18.379546670350887,6.856e-07/3.536e-08/1.843e-09,6.266e-09/8.450e-09/2.655e-09,-18.379546830008113,5.694e-08,dweight,truncation,4,882
open,2.0,20,200/400/800,-16.34157277289392/-16.341572773725545/-16.341572773727215,3.299e-11/4.760e-14/2.202e-19,3.949e-11/1.243e-13/1.066e-14,-16.341572774143025,2.711e-10,invD,converged,4,37
open,2.0,40,200/400/800,-33.22404406843092/-33.22404425941164/-33.224044261236415,2.393e-09/2.658e-11/1.111e-13,1.046e-10/4.170e-11/5.400e-13,-33.224044356726765,6.132e-08,invD,converged,4,116
open,2.0,60,200/400/800,-50.109925228120865/-50.10992667248166/-50.109926698734675,1.048e-08/2.185e-10/2.339e-12,1.303e-09/1.971e-10/7.340e-12,-50.10992670111309,2.094e-09,dweight,truncation,4,235
open,2.0,80,200/400/800,-66.99660616294007/-66.9966105525105/-66.99661066508177,2.110e-08/6.360e-10/1.011e-11,6.896e-09/1.860e-10/2.738e-11,-66.99661067775197,1.084e-08,dweight,truncation,4,386
open,2.0,100,200/400/800,-83.8836025402645/-83.88361177648105/-83.8836120665311,3.294e-08/1.232e-09/2.399e-11,8.226e-09/1.900e-10/6.574e-11,-83.88361210327749,3.096e-08,dweight,truncation,4,570
ring,2.0,16,400/800/1600,-13.62400541163443/-13.624009258998022/-13.624009310503428,2.436e-07/4.910e-09/4.160e-11,2.963e-10/7.965e-12/1.315e-13,-13.624009324376463,1.348e-08,dweight,truncation,4,133
